1,370,54,2,1,1.1193e+05,1.0908e+05,1.1084e+05,1.0881e+05,0,0,0
2,14,54,3,39,1.2767e+05,1.0907e+05,1.2763e+05,1.0908e+05,0,0,0
3,370,54,4,3,1.2877e+05,1.0883e+05,1.2767e+05,1.0907e+05,0,0,0
4,19870,10,6,14,7.0046e+05,1.0944e+05,6.9847e+05,1.092e+05,0,0,0
5,2.7411e+05,10,165,6,7.2794e+05,1.0952e+05,7.0046e+05,1.0944e+05,0,0,0
6,4.9442e+05,10,15,7,8.6337e+05,1.0938e+05,8.1381e+05,1.094e+05,0,0,0
7,3.1867e+05,17,29,9,8.983e+05,1.0816e+05,8.0135e+05,1.0786e+05,0,0,0
8,5876,17,9,52,8.0135e+05,1.0786e+05,7.9956e+05,1.0783e+05,0,0,0
9,6.032e+05,10,5,11,8.3821e+05,1.0871e+05,7.819e+05,1.0835e+05,0,0,0
10,611,10,11,55,7.819e+05,1.0835e+05,7.8184e+05,1.0835e+05,0,0,0
11,550,17,12,57,1.446e+05,1.0882e+05,1.4445e+05,1.0882e+05,0,0,0
12,7144,60,161,16,6.0666e+05,1.0888e+05,5.8106e+05,1.0875e+05,0,0,0
13,25448,81,60,18,5.8039e+05,1.0875e+05,4.1442e+05,1.0849e+05,0,0,0
14,186,20,20,63,7.179e+05,1.092e+05,7.1782e+05,1.092e+05,0,0,0
15,1526,54,27,23,1.3478e+05,1.089e+05,1.302e+05,1.0812e+05,72,0,2
16,4924,0,178,24,1.301e+05,1.0775e+05,1.301e+05,1.0815e+05,0,0,0
17,21,72,68,25,1.301e+05,1.0768e+05,1.2998e+05,1.0768e+05,0,0,0
18,102,54,71,27,1.3585e+05,1.0891e+05,1.3478e+05,1.089e+05,765,0,2
19,9.0042e+05,6,28,8,9.2988e+05,1.0798e+05,8.9922e+05,1.0817e+05,-1,0,0
20,1790,17,51,29,8.9884e+05,1.0816e+05,8.983e+05,1.0816e+05,0,0,0
21,758,34,52,30,7.9956e+05,1.0783e+05,7.9867e+05,1.0783e+05,0,0,0
22,97715,34,30,31,7.9867e+05,1.0783e+05,6.8316e+05,1.0799e+05,0,0,0
23,22170,46,10,32,7.3439e+05,1.0811e+05,6.8693e+05,1.0802e+05,0,0,0
24,65363,81,33,205,5.8343e+05,1.0782e+05,1.5828e+05,1.0878e+05,0,0,0
25,14,54,34,4,1.2881e+05,1.0881e+05,1.2877e+05,1.0883e+05,0,0,0
26,13,54,177,34,1.2884e+05,1.0879e+05,1.2881e+05,1.0881e+05,0,0,0
27,14,54,1,35,1.1084e+05,1.0881e+05,1.108e+05,1.0879e+05,0,0,0
28,13,54,35,175,1.108e+05,1.0879e+05,1.1076e+05,1.0877e+05,0,0,0
29,14,54,36,2,1.1197e+05,1.0908e+05,1.1193e+05,1.0908e+05,0,0,0
30,1.6077e+06,17,37,12,6.0078e+05,1.0927e+05,1.446e+05,1.0882e+05,-1,0,0
31,28493,17,126,37,6.0886e+05,1.0926e+05,6.0078e+05,1.0927e+05,0,0,0
32,9.65e+05,14,38,22,8.4996e+05,1.0908e+05,6.5789e+05,1.0899e+05,-1,0,0
33,405,54,40,250,1.2093e+05,1.0909e+05,1.1974e+05,1.0908e+05,0,0,0
34,2172,54,41,172,1.1843e+05,1.0909e+05,1.1201e+05,1.0908e+05,0,0,0
35,443,54,250,41,1.1974e+05,1.0908e+05,1.1843e+05,1.0909e+05,0,0,0
36,2125,101,42,272,1.297e+05,1.0836e+05,1.0795e+05,1.0742e+05,0,0,0
37,3414,76,43,272,1.2742e+05,1.083e+05,1.0795e+05,1.0742e+05,0,0,0
38,787,72,200,44,1.2877e+05,1.0769e+05,1.2466e+05,1.0767e+05,0,0,0
39,3205,72,44,272,1.2466e+05,1.0767e+05,1.0795e+05,1.0742e+05,0,0,0
40,1690,53,202,45,1.2809e+05,1.076e+05,1.2342e+05,1.0754e+05,0,0,0
41,5606,53,45,272,1.2342e+05,1.0754e+05,1.0795e+05,1.0742e+05,0,0,0
42,28,54,23,47,1.302e+05,1.0812e+05,1.301e+05,1.0813e+05,25,0,0
43,32,0,24,47,1.301e+05,1.0815e+05,1.301e+05,1.0813e+05,0,0,0
44,24709,122,67,48,5.572e+05,1.0896e+05,1.9191e+05,1.0941e+05,0,0,0
45,215,33,48,194,1.9191e+05,1.0941e+05,1.9168e+05,1.0942e+05,0,0,0
